id,name,username,email,connections
1,Leanne Graham,Bret,Sincere@april.biz,"1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1"
2,Ervin Howell,Antonette,Shanna@melissa.tv,"1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0"
3,Clementine Bauch,Samantha,Nathan@yesenia.net,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;1"
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,"1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1"
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,"1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1"
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,"1;0;1;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0"
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,"1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1"
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,"1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1"
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,"0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1"
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,"0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1"
